holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
HCA,HCA Healthcare Inc,529900PH4ZGUH2MNEU89,HCA Healthcare Inc,40412C101,US40412C1018,HCA,27,NS,USD,10178.73,0.30,Long,EC,CORP,US,N,1,N,N,N
HLT,Hilton Worldwide Holdings Inc,549300HVGPK36ICB0B89,Hilton Worldwide Holdings Inc,43300A203,US43300A2033,HLT,42,NS,USD,14403.06,0.43,Long,EC,CORP,US,N,1,N,N,N
HOOD,Robinhood Markets Inc,213800FS5AO3YWIE6F63,Robinhood Markets Inc,770700102,US7707001027,HOOD,201,NS,USD,21247.71,0.63,Long,EC,CORP,US,N,1,N,N,N
IBKR,Interactive Brokers Group Inc,5493004DT6DCDUZNDM53,Interactive Brokers Group Inc,45841N107,US45841N1072,IBKR,91,NS,USD,8810.62,0.26,Long,EC,CORP,US,N,1,N,N,N
INCY,Incyte Corp,549300Z4WN6JVZ3T4680,Incyte Corp,45337C102,US45337C1027,INCY,89,NS,USD,9225.74,0.27,Long,EC,CORP,US,N,1,N,N,N
INTU,Intuit Inc,VI90HBPH7XSFMB9E4M29,Intuit Inc,461202103,US4612021034,INTU,53,NS,USD,13661.81,0.41,Long,EC,CORP,US,N,1,N,N,N
JPM,JPMORGAN CHASE & CO.,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,46625H100,US46625H1005,JPM,64,NS,USD,21214.72,0.63,Long,EC,CORP,US,N,1,N,N,N
KKR,KKR & Co Inc,54930013V5I303TF9571,KKR & Co Inc,48251W104,US48251W1045,KKR,245,NS,USD,23740.5,0.70,Long,EC,CORP,US,N,1,N,N,N
KMI,Kinder Morgan Inc,549300WR7IX8XE0TBO16,Kinder Morgan Inc,49456B101,US49456B1017,KMI,657,NS,USD,21188.25,0.63,Long,EC,CORP,US,N,1,N,N,N
KO,Coca-Cola Co/The,UWJKFUJFZ02DKWI3RY53,Coca-Cola Co/The,191216100,US1912161007,KO,240,NS,USD,19087.2,0.57,Long,EC,CORP,US,N,1,N,N,N
L,Loews Corp,R8V1FN4M5ITGZOG7BS19,Loews Corp,540424108,US5404241086,L,84,NS,USD,9082.92,0.27,Long,EC,CORP,US,N,1,N,N,N
LEN,Lennar Corp,529900G61XVRLX5TJX09,Lennar Corp,526057104,US5260571048,LEN,101,NS,USD,8831.44,0.26,Long,EC,CORP,US,N,1,N,N,N
LLY,Eli Lilly & Co,FRDRIPF3EKNDJ2CQJL29,Eli Lilly & Co,532457108,US5324571083,LLY,12,NS,USD,13224.96,0.39,Long,EC,CORP,US,N,1,N,N,N
LRCX,Lam Research Corp,549300I4GMO6D34U1T02,Lam Research Corp,512807306,US5128073062,LRCX,25,NS,USD,10238.5,0.30,Long,EC,CORP,US,N,1,N,N,N
LYV,Live Nation Entertainment Inc,5493007B9BM9ZXJINO78,Live Nation Entertainment Inc,538034109,US5380341090,LYV,53,NS,USD,9039.68,0.27,Long,EC,CORP,US,N,1,N,N,N
MAR,Marriott International Inc/MD,225YDZ14ZO8E1TXUSU86,Marriott International Inc/MD,571903202,US5719032022,MAR,69,NS,USD,26509.11,0.79,Long,EC,CORP,US,N,1,N,N,N
META,Meta Platforms Inc,BQ4BKCS1HXDV9HN80Z93,Meta Platforms Inc,30303M102,US30303M1027,META,325,NS,USD,183251.25,5.44,Long,EC,CORP,US,N,1,N,N,N
MNST,Monster Beverage Corp,52990090AP0E7HCB6F33,Monster Beverage Corp,61174X109,US61174X1090,MNST,267,NS,USD,24836.34,0.74,Long,EC,CORP,US,N,1,N,N,N
MPWR,Monolithic Power Systems Inc,529900TB7O85LSZ1XU31,Monolithic Power Systems Inc,609839105,US6098391054,MPWR,11,NS,USD,16916.68,0.50,Long,EC,CORP,US,N,1,N,N,N
MSCI,MSCI Inc,549300HTIN2PD78UB763,MSCI Inc,55354G100,US55354G1004,MSCI,21,NS,USD,12197.85,0.36,Long,EC,CORP,US,N,1,N,N,N
