holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
PR,Permian Resources Corp,N/A,Permian Resources Corp,71424F105,US71424F1057,PR,1944,NS,USD,36936,1.13,Long,EC,CORP,US,N,1,N,N,N
PSX,Phillips 66,5493005JBO5YSIGK1814,Phillips 66,718546104,US7185461040,PSX,540,NS,USD,90941.4,2.78,Long,EC,CORP,US,N,1,N,N,N
PTEN,Patterson-UTI Energy Inc,254900XGFBKIXD6G0697,Patterson-UTI Energy Inc,703481101,US7034811015,PTEN,1674,NS,USD,17074.8,0.52,Long,EC,CORP,US,N,1,N,N,N
RCAT,Red Cat Holdings Inc,5493005OGSQW28V2PY05,Red Cat Holdings Inc,75644T100,US75644T1007,RCAT,918,NS,USD,9758.34,0.30,Long,EC,CORP,PR,N,1,N,N,N
RKLB,Rocket Lab Corp,254900LNRW7906KUMM93,Rocket Lab Corp,773121108,US7731211089,RKLB,756,NS,USD,75819.24,2.32,Long,EC,CORP,US,N,1,N,N,N
RTX,RTX Corp,I07WOS4YJ0N7YRFE7309,RTX Corp,75513E101,US75513E1010,RTX,945,NS,USD,171829.35,5.25,Long,EC,CORP,US,N,1,N,N,N
SAIC,Science Applications Internati,549300LZPNZIXQGZPZ48,Science Applications International Corp,808625107,US8086251076,SAIC,216,NS,USD,21729.6,0.66,Long,EC,CORP,US,N,1,N,N,N
SLB,SLB Ltd,213800ZUA17OK3QLGM62,SLB Ltd,806857108,AN8068571086,SLB,1566,NS,USD,75089.7,2.29,Long,EC,CORP,US,N,1,N,N,N
SWBI,Smith & Wesson Brands Inc,5493004PFHUPOR1PWN79,Smith & Wesson Brands Inc,831754106,US8317541063,SWBI,486,NS,USD,7994.7,0.24,Long,EC,CORP,US,N,1,N,N,N
TDG,TransDigm Group Inc,N/A,TransDigm Group Inc,893641100,US8936411003,TDG,54,NS,USD,69978.6,2.14,Long,EC,CORP,US,N,1,N,N,N
TRGP,Targa Resources Corp,5493003QENHHS261UR94,Targa Resources Corp,87612G101,US87612G1013,TRGP,297,NS,USD,78559.47,2.40,Long,EC,CORP,US,N,1,N,N,N
VG,Venture Global Inc,2549007XC91CAB3E0N98,Venture Global Inc,92333F101,US92333F1012,VG,1134,NS,USD,12768.84,0.39,Long,EC,CORP,US,N,1,N,N,N
VLO,Valero Energy Corp,549300XTO5VR8SKV1V74,Valero Energy Corp,91913Y100,US91913Y1001,VLO,378,NS,USD,92148.84,2.82,Long,EC,CORP,US,N,1,N,N,N
VVX,V2X Inc,N/A,V2X Inc,92242T101,US92242T1016,VVX,216,NS,USD,17712,0.54,Long,EC,CORP,US,N,1,N,N,N
WFRD,Weatherford International PLC,529900LPBDSCQDJKHQ39,Weatherford International PLC,N/A,IE00BLNN3691,WFRD,216,NS,USD,19824.48,0.61,Long,EC,CORP,US,N,1,N,N,N
WMB,Williams Cos Inc/The,D71FAKCBLFS2O0RBPG08,Williams Cos Inc/The,969457100,US9694571004,WMB,1323,NS,USD,99158.85,3.03,Long,EC,CORP,US,N,1,N,N,N
XOM,Exxon Mobil Corp,J3WHBG0MTS7O8ZVMDC91,Exxon Mobil Corp,30231G102,US30231G1022,XOM,1917,NS,USD,265446.99,8.11,Long,EC,CORP,US,N,1,N,N,N
