holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
HPQ,HP Inc,WHKXQACZ14C5XRO8LW03,HP Inc,40434L105,US40434L1052,HPQ,602,NS,USD,14171.08,0.70,Long,EC,CORP,US,N,1,N,N,N
INTC,Intel Corp,KNX4USFCNGPY45LOCE31,Intel Corp,458140100,US4581401001,INTC,532,NS,USD,74980.08,3.71,Long,EC,CORP,US,N,1,N,N,N
IOT,Samsara Inc,529900IE80DQBIFK3M88,Samsara Inc,79589L106,US79589L1061,IOT,336,NS,USD,10463.04,0.52,Long,EC,CORP,US,N,1,N,N,N
ISRG,Intuitive Surgical Inc,54930052SRG011710797,Intuitive Surgical Inc,46120E602,US46120E6023,ISRG,70,NS,USD,28206.5,1.40,Long,EC,CORP,US,N,1,N,N,N
LITE,Lumentum Holdings Inc,549300JLWRRC38DWEF52,Lumentum Holdings Inc,55024U109,US55024U1097,LITE,28,NS,USD,25030.04,1.24,Long,EC,CORP,US,N,1,N,N,N
LRCX,Lam Research Corp,549300I4GMO6D34U1T02,Lam Research Corp,512807306,US5128073062,LRCX,154,NS,USD,63069.16,3.12,Long,EC,CORP,US,N,1,N,N,N
META,Meta Platforms Inc,BQ4BKCS1HXDV9HN80Z93,Meta Platforms Inc,30303M102,US30303M1027,META,126,NS,USD,71045.1,3.52,Long,EC,CORP,US,N,1,N,N,N
MRVL,MARVELL TECHNOLOGY INC,254900WVU0BM7ZCJ9E93,MARVELL TECHNOLOGY INC,573874104,US5738741041,MRVL,154,NS,USD,47410.44,2.35,Long,EC,CORP,US,N,1,N,N,N
NET,Cloudflare Inc,5493007DY18BGNLDWU14,Cloudflare Inc,18915M107,US18915M1071,NET,112,NS,USD,24458.56,1.21,Long,EC,CORP,US,N,1,N,N,N
NFLX,Netflix Inc,549300Y7VHGU0I7CE873,Netflix Inc,64110L106,US64110L1061,NFLX,532,NS,USD,38772.16,1.92,Long,EC,CORP,US,N,1,N,N,N
NOW,ServiceNow Inc,549300HJTQM36M0E1G39,ServiceNow Inc,81762P102,US81762P1021,NOW,280,NS,USD,26042.8,1.29,Long,EC,CORP,US,N,1,N,N,N
NVDA,NVIDIA Corp,549300S4KLFTLO7GSQ80,NVIDIA Corp,67066G104,US67066G1040,NVDA,658,NS,USD,137291.7,6.80,Long,EC,CORP,US,N,1,N,N,N
OKTA,Okta Inc,549300N8J06I8MRHU620,Okta Inc,679295105,US6792951054,OKTA,140,NS,USD,16231.6,0.80,Long,EC,CORP,US,N,1,N,N,N
PANW,Palo Alto Networks Inc,549300QXR2YVZV231H43,Palo Alto Networks Inc,697435105,US6974351057,PANW,168,NS,USD,48115.2,2.38,Long,EC,CORP,US,N,1,N,N,N
PCG,PG&E Corp,8YQ2GSDWYZXO2EDN3511,PG&E Corp,69331C108,US69331C1080,PCG,1050,NS,USD,17461.5,0.86,Long,EC,CORP,US,N,1,N,N,N
RBLX,ROBLOX Corp,529900ANZDBDFU91SO19,ROBLOX Corp,771049103,US7710491033,RBLX,280,NS,USD,13235.6,0.66,Long,EC,CORP,US,N,1,N,N,N
RDDT,Reddit Inc,529900APN1YHPBHPI679,Reddit Inc,75734B100,US75734B1008,RDDT,84,NS,USD,14316.96,0.71,Long,EC,CORP,US,N,1,N,N,N
RIVN,Rivian Automotive Inc,25490004LNKJ84MFYY24,Rivian Automotive Inc,76954A103,US76954A1034,RIVN,658,NS,USD,9935.8,0.49,Long,EC,CORP,US,N,1,N,N,N
ROST,Ross Stores Inc,549300ENZFLPGRDFZQ60,Ross Stores Inc,778296103,US7782961038,ROST,98,NS,USD,23223.06,1.15,Long,EC,CORP,US,N,1,N,N,N
SMCI,Super Micro Computer Inc,54930022CZO1N2UGVW07,Super Micro Computer Inc,86800U302,US86800U3023,SMCI,378,NS,USD,13403.88,0.66,Long,EC,CORP,US,N,1,N,N,N
SNOW,Snowflake Inc,254900CJNSY1K7T53Z16,Snowflake Inc,833445109,US8334451098,SNOW,140,NS,USD,31722.6,1.57,Long,EC,CORP,US,N,1,N,N,N
SNX,TD SYNNEX Corp,5493004HI6PFLF46NS53,TD SYNNEX Corp,87162W100,US87162W1009,SNX,56,NS,USD,15862.56,0.79,Long,EC,CORP,US,N,1,N,N,N
