fund,field,source,as_of,value
XCOM,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XCOM,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XCOM,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-9084.17
XCOM,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-149252.44
XCOM,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,14256.48
XEUR,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XEUR,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XEUR,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XEUR,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XEUR,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-791.21
XEUR,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-14924.94
XEUR,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,3826.92
XHOA,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XHOA,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XHOA,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XHOA,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XHOA,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-430.90
XHOA,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,14237.76
XHOA,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,2419.16
XIWC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XIWC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XIWC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XIWC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XIWC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-3157.29
XIWC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,43568.62
XIWC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,8405.44
XKRE,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XKRE,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XKRE,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XKRE,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XKRE,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-892.70
XKRE,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,76409.67
XKRE,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,4739.54
XLBX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLBX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLBX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLBX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLBX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-2339.47
XLBX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,7776.68
XLBX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,7057.36
XLEX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLEX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLEX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLEX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLEX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-5376.78
XLEX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-75798.33
XLEX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,8799.42
XLFX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLFX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLFX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLFX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLFX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-257.14
XLFX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,48893.88
XLFX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,4095.15
XLIX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLIX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLIX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLIX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLIX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-581.85
XLIX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,61607.56
XLIX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,4060.89
XLKX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLKX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLKX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLKX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLKX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-12228.65
XLKX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-31773.12
XLKX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,15390.88
XLPX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLPX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLPX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLPX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLPX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1004.17
XLPX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,14327.76
XLPX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,4149.71
XLUX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLUX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLUX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLUX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLUX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-227.47
XLUX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,29965.03
XLUX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,1994.35
XLVX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLVX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLVX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLVX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLVX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1397.67
XLVX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,18769.62
XLVX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,5541.64
XLYX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XLYX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XLYX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XLYX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XLYX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1172.60
XLYX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-10735.78
XLYX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,2722.29
XPAV,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XPAV,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XPAV,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XPAV,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XPAV,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-762.32
XPAV,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,11696.15
XPAV,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,2371.12
XSEM,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XSEM,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XSEM,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XSEM,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XSEM,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-15006.14
XSEM,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,412.69
XSEM,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,17877.61
XTAI,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XTAI,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XTAI,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XTAI,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XTAI,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-8808.22
XTAI,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,30148.11
XTAI,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,12876.96
XVO,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XVO,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XVO,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XVO,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XVO,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-623.94
XVO,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,5414.96
XVO,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,3134.42
XVUG,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XVUG,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XVUG,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XVUG,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XVUG,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-6729.54
XVUG,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-49966.42
XVUG,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,9812.56
XW,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XW,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XW,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XW,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XW,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1673.31
XW,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-13883.75
XW,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,3503.40
YUNG,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
YUNG,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
YUNG,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,23.40
YUNG,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,48444.18
YUNG,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
YUNG,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,98785.94
YUNG,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,338.96
